shop,menu,format,base,milk,liquid,flavor,toppings,tops
Kung Fu Tea,Latte,coffee,milk,1,0,milk,0,unspecified
Tea and Milk,Lady Earl Grey Tea,earl grey tea,tea,0,0,undefined,0,unspecified
Kung Fu Tea,Kung Fu Black/Green/Oolong Tea,"oolong tea,black tea,green tea",tea,0,0,undefined,0,unspecified
Ten Ren's Tea Time,Kings Tea,tea,tea,0,0,undefined,0,unspecified
M Tea,Jumbo Fruit Tea,tea,tea,0,fruit,fruit,undefined toppings,unspecified
Kung Fu Tea,Jujube Tea Milk Cap,tea,tea,1,0,milk,milk cap,milk foam
ViVi Bubble Tea,Japanese Matcha Fresh Milk,milk,milk,1,matcha,matcha,0,unspecified
Ten Ren's Tea Time,Japanese Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Boba Fries,Iced Vanilla Latte,coffee,milk,1,vanilla,other,0,unspecified
Boba Fries,Iced Latte,coffee,milk,1,0,milk,0,unspecified
Machi Machi,Iced Chocolate with Panna Cotta,chocolate,other,0,chocolate,chocolate,panna cotta,other
Shiny Tea,Ice Peak Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Teazzi Tea Shop,House Special Milk Tea,tea,tea,1,0,milk,0,unspecified
Mi Tea,House Special Iced Tea,tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Yifang Fruit Tea,tea,tea,0,fruit,fruit,0,unspecified
Boba Fries,Hot Vanilla Latte,coffee,milk,1,vanilla,other,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Sun Moon Lake Black Tea,black tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Songboiling Mountain Tea,green tea,tea,0,0,undefined,0,unspecified
Debutea,Hot Snow Mountain White Tea,white tea,tea,0,0,undefined,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Oolong Tea Latte,oolong tea,milk,1,0,milk,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Logu Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Boba Fries,Hot latte,coffee,milk,1,0,milk,0,unspecified
FIFTYLAN Washington Square Park,Hot Hazelnut Ceylon Black Tea Latte,black tea,milk,1,0,milk,hazelnut,other
FIFTYLAN Washington Square Park,Hot Chocolate Milk,milk,milk,1,chocolate,chocolate,0,unspecified
FIFTYLAN Washington Square Park,Hot Ceylon Black Tea Latte,black tea,milk,1,black tea,milk,0,unspecified
Yi Fang Taiwan Fruit Tea,Hot Black Tea Latte,black tea,milk,1,black tea,milk,0,unspecified
Song Tea,Hong Kong Style Milk Tea,tea,tea,1,0,milk,0,unspecified
Mi Tea,Hong Kong Milk Tea,tea,tea,1,0,milk,0,unspecified
